			Протокол прохода WK_00003 над изображением WK_00005 с шагом 1000 пикселей.


Имитация высоты полета на 50.0 м. Высота опорного изображения: 500 м.
-------------------------------------------------------------------------------------------------------------------------
| номер | Кол-во КТ опорного | Кол-во КТ обл. | Кол-во   | Кол-во общих КТ | Вариант               | Отклонение         |
| п/п   | изображения        | видимости      | общих КТ | после фильтра   | искажения             | от истины          |
-------------------------------------------------------------------------------------------------------------------------
|  45   |       227176       |      912       |    2     |        0        |   Поворот -120 град   |     не найдено     |
|  46   |       227176       |      524       |    12    |       12        |   Поворот -120 град   |   [-730, -1466]    |
|  47   |       227176       |      825       |    12    |        0        |   Поворот -120 град   |     не найдено     |
|  48   |       227176       |      1355      |    12    |        7        |   Поворот -120 град   |   [-1920, -1404]   |
|  49   |       227176       |      1354      |    8     |        6        |   Поворот -120 град   |   [-2589, -1348]   |
|  50   |       227176       |      1283      |    10    |        8        |   Поворот -120 град   |   [-3219, -1280]   |
|  51   |       227176       |      613       |    2     |        0        |   Поворот -120 град   |     не найдено     |
|  52   |       227176       |      1385      |    86    |       74        |   Поворот -120 град   |   [-1364, -1974]   |
|  53   |       227176       |      449       |    10    |        5        |   Поворот -120 град   |   [-1936, -1855]   |
|  54   |       227176       |      374       |    23    |        3        |   Поворот -120 град   |   [-2604, -1833]   |
|  55   |       227176       |      961       |    10    |       10        |   Поворот -120 град   |   [-3156, -1874]   |
|  56   |       227176       |       4        |    0     |        0        |   Поворот -120 град   |     не найдено     |
|  57   |       227176       |       29       |    95    |        3        |   Поворот -120 град   |   [-2967, -1463]   |
|  58   |       227176       |      190       |    23    |        0        |   Поворот -120 град   |     не найдено     |
|  59   |       227176       |       23       |    0     |        0        |   Поворот -120 град   |     не найдено     |
|  60   |       227176       |      628       |    14    |       14        |   Поворот -120 град   |   [-3219, -2472]   |
-------------------------------------------------------------------------------------------------------------------------
|  61   |       227176       |      779       |    12    |        0        |   Поворот 180 град    |     не найдено     |
|  62   |       227176       |      1948      |    12    |        5        |   Поворот 180 град    |   [-1282, -694]    |
|  63   |       227176       |      2068      |    30    |       29        |   Поворот 180 град    |   [-1882, -734]    |
|  64   |       227176       |      1700      |    5     |        2        |   Поворот 180 град    |   [-2325, -584]    |
|  65   |       227176       |      1191      |    14    |        2        |   Поворот 180 град    |   [-2867, -1246]   |
|  66   |       227176       |      662       |    11    |       11        |   Поворот 180 град    |   [-704, -1449]    |
|  67   |       227176       |      1047      |    20    |        0        |   Поворот 180 град    |     не найдено     |
|  68   |       227176       |      1901      |    18    |        0        |   Поворот 180 град    |     не найдено     |
|  69   |       227176       |      1546      |    11    |       10        |   Поворот 180 град    |   [-2639, -1292]   |
|  70   |       227176       |      1481      |    21    |        6        |   Поворот 180 град    |   [-3205, -1203]   |
|  71   |       227176       |      861       |    8     |        0        |   Поворот 180 град    |     не найдено     |
|  72   |       227176       |      1897      |    92    |       91        |   Поворот 180 град    |   [-1341, -1988]   |
|  73   |       227176       |      543       |    12    |        7        |   Поворот 180 град    |   [-1943, -1860]   |
|  74   |       227176       |      370       |    24    |        8        |   Поворот 180 град    |   [-2586, -1847]   |
|  75   |       227176       |      1279      |    15    |        8        |   Поворот 180 град    |   [-3129, -1874]   |
|  76   |       227176       |       0        |    0     |        0        |   Поворот 180 град    |     не найдено     |
|  77   |       227176       |       13       |    0     |        0        |   Поворот 180 град    |     не найдено     |
|  78   |       227176       |      185       |    11    |        0        |   Поворот 180 град    |     не найдено     |
|  79   |       227176       |       34       |    2     |        0        |   Поворот 180 град    |     не найдено     |
|  80   |       227176       |      936       |    12    |        2        |   Поворот 180 град    |   [-3199, -2403]   |
-------------------------------------------------------------------------------------------------------------------------
|  81   |       227176       |      784       |    12    |        0        |      Яркость +30      |     не найдено     |
|  82   |       227176       |      1929      |    14    |        7        |      Яркость +30      |   [-1251, -734]    |
|  83   |       227176       |      2075      |    37    |       36        |      Яркость +30      |   [-1887, -733]    |
|  84   |       227176       |      1732      |    4     |        4        |      Яркость +30      |   [-2463, -592]    |
|  85   |       227176       |      1192      |    2     |        0        |      Яркость +30      |     не найдено     |
|  86   |       227176       |      692       |    13    |        0        |      Яркость +30      |     не найдено     |
|  87   |       227176       |      1045      |    29    |        0        |      Яркость +30      |     не найдено     |
|  88   |       227176       |      1870      |    20    |        0        |      Яркость +30      |     не найдено     |
